aat	-5878.263	-5878.025	-5877.241	-5876.110
accA	-5076.608	-5075.993	-5076.614	-5076.575
accB	-3043.833	-3043.583	-3042.499	-3042.874
accC	-6262.749	-6262.677	-6261.336	-6261.677
accD	-4708.280	-4708.097	-4708.221	-4708.239
aceA	-7594.515	-7593.736	-7593.820	-7594.240
aceB	-10840.125	-10839.784	-10839.628	-10839.030
aceE_1	-14078.309	-14072.318	-14074.287	-14075.394
aceK	-13231.841	-13229.073	-13231.339	-13231.694
acnA_2	-14120.685	-14111.867	-14107.159	-14108.765
acoE_1	-13492.854	-13484.204	-13491.524	-13491.800
acpD	-4437.400	-4437.214	-4437.283	-4437.213
acpP_2	-776.662	-776.605	-775.877	-775.881
acpS	-3158.048	-3157.200	-3157.899	-3158.005
act	-5125.446	-5125.434	-5125.218	-5125.067
add	-7431.029	-7430.789	-7429.380	-7428.898
adhC	-8759.865	-8757.641	-8758.167	-8758.300
adk	-4835.033	-4834.539	-4835.032	-4835.033
ahcY	-7635.299	-7635.253	-7631.582	-7631.571
aidB	-14334.286	-14333.865	-14333.666	-14333.133
alaS	-15636.156	-15636.156	-15636.155	-15636.076
alr	-8427.540	-8427.384	-8427.452	-8427.540
amgK	-8431.287	-8430.289	-8431.208	-8431.275
amn	-10115.549	-10115.519	-10111.980	-10110.504
ampD	-5836.428	-5836.072	-5835.760	-5835.753
ampG	-10566.250	-10566.143	-10564.739	-10565.638
amtB	-8761.452	-8757.197	-8758.359	-8759.229
anmK	-10569.181	-10568.516	-10568.865	-10568.077
ansB	-9484.398	-9483.796	-9483.728	-9483.384
apaG	-2647.666	-2647.325	-2647.380	-2647.573
apaH	-7166.751	-7162.858	-7166.714	-7166.741
aqpZ_2	-6393.108	-6391.596	-6388.996	-6389.890
argB	-4194.546	-4194.539	-4194.173	-4193.970
argC_1	-7127.956	-7127.716	-7127.952	-7127.936
argD_1	-7622.785	-7622.125	-7621.988	-7620.649
argD_2	-9907.613	-9907.511	-9906.348	-9905.556
argF	-4161.196	-4145.853	-4117.604	-4112.920
argH	-8766.081	-8766.067	-8766.065	-8765.970
argJ	-8518.014	-8517.970	-8517.294	-8517.209
argS	-12648.084	-12647.502	-12647.977	-12648.093
argT_3	-6124.153	-6120.974	-6118.386	-6120.392
arnD	-6527.290	-6527.289	-6527.068	-6526.931
arnF	-2761.758	-2759.855	-2760.035	-2760.366
arnT_1	-14303.939	-14299.468	-14299.009	-14300.357
aroA_tyrA	-9583.686	-9579.181	-9583.082	-9583.467
aroB	-7891.533	-7891.431	-7891.440	-7891.140
aroC	-7042.804	-7042.792	-7039.345	-7038.970
aroG_1	-6433.463	-6431.879	-6433.336	-6433.200
aroK_2	-3740.534	-3740.342	-3739.629	-3739.401
aroQ1	-2685.779	-2685.281	-2683.253	-2683.615
asd	-5774.998	-5774.980	-5770.997	-5771.495
ask	-6369.624	-6369.608	-6367.642	-6368.406
aspS	-9347.081	-9346.745	-9341.539	-9342.347
astB	-10145.606	-10143.683	-10144.352	-10143.603
astD	-11945.990	-11945.535	-11934.963	-11933.114
